id,name,category,min_players,max_players,recommended_age,estimated_minutes,equipment,difficulty,description,key_coaching_points,progressions,regressions,attribute_map,solo_friendly,tags
4afe6276-87bc-4ddd-9f05-40cd3fd2d26b,Dynamic Movement Line,Warm-Up,6,20,U8-U19,8,cones,Beginner,"Players perform dynamic movements over 15–20 yards (high knees, butt kicks, skips) to raise core temperature.",Tall posture;Arms active;Gradually increase speed,Add ball at feet on return; add reaction cue (color/number).,Shorten distance; reduce movement variety.,Coordination:4|Agility:3|Goalkeeping:2,False,beginner;movement;u11-friendly;warm-up
157bc68c-70b3-4f16-a0ef-e01fc526d258,Rondo Warm-Up 4v1,Warm-Up,5,8,U10-U19,8,balls;cones,Intermediate,Keep-away in a small grid to activate passing rhythm and scanning.,Open body shape;One/two touch;Move after pass,Increase to 5v2; reduce grid size; touch limit.,Increase grid size; allow unlimited touches.,Passing:4|Decision Making:3|Weak Foot:2,False,intermediate;rondo;u11-friendly;warm-up
5168ca67-cef1-4003-8f14-9293dff79a03,Tag With Ball,Warm-Up,6,20,U8-U14,6,balls;cones,Beginner,Players dribble in a grid while 1–2 taggers try to tag. Tagged players do a quick task then rejoin.,Head up;Protect ball;Change direction,Weak-foot only; add safe zones with limits.,Walk tempo; bigger grid; fewer taggers.,Ball Control:4|Dribbling:3|Speed:2,False,beginner;fun;u11-friendly;warm-up
a4ba9000-07af-41cc-8a6b-8a915a3b5ea2,Activation: Hops + Stick,Warm-Up,4,20,U10-U19,6,cones,Intermediate,Single-leg hops with controlled landings to prep ankles/knees for cutting and contact.,Soft landing;Knee over toe;Stable core,Add lateral hops; add partner bump on landing.,Two-leg hops; reduce distance.,Balance:4|Strength:3|Finishing:2,True,injury-prep;intermediate;u11-friendly;warm-up
c87e818a-4e5f-4b30-8c70-1044f5f95962,Juggling Ladder,Warm-Up,1,20,U9-U19,7,balls,Intermediate,Players juggle and try to beat personal bests (thigh/foot) to wake up touch and coordination.,Relaxed ankle;Eyes up between touches;Quick reset after drops,Weak-foot minimum; add move after every 3 juggles.,Allow one bounce between touches.,Ball Control:4|Coordination:3|First Touch:2,True,intermediate;touch;u11-friendly;warm-up
5a4d8523-4f8c-4b39-b10a-b194b63e2294,Partner Mirror Footwork,Warm-Up,2,20,U10-U19,6,cones,Beginner,Pairs face each other; leader moves laterally/forward/back while partner mirrors to prep defensive feet.,Low center of gravity;Quick small steps;Stay balanced,Add ball for leader; add feints.,Slow tempo; shorten time.,Agility:4|Defending:3|Finishing:2,False,beginner;footwork;u11-friendly;warm-up
92a542d8-52df-4bbe-8adb-2e1fc2cc1c4d,Two-Color Reaction Dribble,Warm-Up,1,20,U9-U19,7,cones;balls,Intermediate,Players dribble freely; on coach call of a color they accelerate to that cone and stop ball under control.,Explode on cue;Stop ball cleanly;Scan while dribbling,"Fake call; add task at cone (turn, pass).",Fewer colors; larger grid.,Decision Making:4|Dribbling:3|Vision:2,True,intermediate;reaction;u11-friendly;warm-up
d9af556d-db4a-47d9-823a-391287b151f5,Mobility Circuit (Hips/Ankles),Warm-Up,1,20,U10-U19,8,cones,Beginner,"Short mobility stations (open gate, lunges, ankle rocks) to improve range of motion.",Controlled reps;Full range;Breathing steady,Add mini-band resistance; add pauses at end-range.,Reduce stations; fewer reps.,Balance:4|Coordination:3|Positioning:2,True,beginner;mobility;u11-friendly;warm-up
8291cbf8-e281-43ca-b811-09e14e9e1b92,Passing Gates Warm-Up,Warm-Up,4,20,U9-U19,8,balls;cones,Beginner,Pairs pass through cone gates and rotate to a new gate after a set number of passes.,Plant foot beside ball;Firm pass;First touch out of feet,One-touch only; smaller gates; weaker foot.,Bigger gates; allow trap and pass.,Passing:4|First Touch:3|Pressing:2,False,beginner;passing;u11-friendly;warm-up
2249efca-8002-4249-8d91-2dbeaebad523,3v1 Keep-Away Warm-Up,Warm-Up,4,10,U10-U19,7,balls;cones,Intermediate,Small rondo to prime quick decisions and support angles.,Create triangles;Play away from pressure;Scan before receiving,Add touch limit; add second defender.,Increase grid size; remove touch limit.,Receiving:4|Decision Making:3|Balance:2,False,intermediate;rondo;u11-friendly;warm-up
ca3d2a9c-cc9b-4959-89d4-ff60d2f601ea,Shadow Dribble Stretch,Warm-Up,1,20,U8-U14,6,balls,Beginner,Slow dribble while mixing gentle dynamic stretches to loosen up without losing touch.,Relaxed touch;Stay balanced;No rushing,Add turns at markers; add weak foot sections.,Walk pace; fewer moves.,Ball Control:4|Balance:3|Agility:2,True,beginner;light;u11-friendly;warm-up
d7171a04-4f28-4b02-92d4-223fa628e6d0,Rondo Warm-Up 5v2,Warm-Up,7,12,U11-U19,8,balls;cones,Advanced,Higher-tempo rondo with two defenders to force quicker decisions and cleaner first touches.,Check shoulders;One-touch when possible;Create passing angles,Reduce grid; add scoring rule (10 passes = point).,Increase grid; allow extra touch.,Decision Making:4|First Touch:3|Vision:2,False,advanced;rondo;u11-friendly;warm-up
958841fd-cde1-4e56-aeca-c50e4ef7ad76,Circle Passing + Call Name,Warm-Up,6,20,U8-U19,7,balls,Beginner,Players in a circle pass while calling receiver’s name to encourage communication and scanning.,Call early;Receive on half-turn;Quality pass,Add one-touch; add second ball.,Allow extra touches; larger spacing.,Passing:4|Vision:3|Positioning:2,False,beginner;communication;u11-friendly;warm-up
3d9aa179-d7de-42fd-9205-6c93fc4e227e,Dribble + Turn Circuit,Warm-Up,1,20,U8-U19,8,balls;cones,Beginner,"Players dribble between cones performing a different turn at each cone (inside cut, outside cut, pullback).",Sharp turns;Accelerate after turn;Use both feet,Add feints; add time challenge.,Fewer turns; more space.,Dribbling:4|Ball Control:3|Coordination:2,True,beginner;turns;u11-friendly;warm-up
8f811ae1-4c57-4db1-afe5-9423f10e0307,Light Possession 6v3,Warm-Up,9,18,U12-U19,9,balls;cones,Intermediate,Larger rondo-style possession to activate team spacing and pressing cues.,Stay wide;Support underneath;Quick transitions,Touch limit; smaller space.,Bigger space; rotate defenders faster.,Positioning:4|Pressing:3|Goalkeeping:2,False,intermediate;possession;u11-friendly;warm-up
ad1351b5-a56b-47df-9fa1-cac1ab4be0f9,Foundation Touches,Ball Mastery (Solo),1,1,U8-U19,5,ball,Beginner,Alternating inside-foot touches to develop rhythm and comfort on the ball.,Light touches;Stay on toes;Head up occasionally,Increase tempo; add movement forward/back; weak-foot emphasis.,Slow tempo; allow pauses; larger ball for young players.,Ball Control:4|Coordination:3|Receiving:2,True,ball;beginner;touches;u11-friendly
cb28868b-bf9d-4366-8d5a-fee5c71cf2af,Toe Taps,Ball Mastery (Solo),1,1,U8-U19,4,ball,Beginner,Alternating toe touches on top of the ball to improve balance and quick feet.,Small quick steps;Stable core;Soft contacts,Add lateral travel; add speed bursts.,Hands on wall for balance; slower tempo.,Coordination:4|Balance:3|Ball Control:2,True,ball;beginner;quick-feet;u11-friendly
d106ebad-a446-4760-b3f0-d2bb833e57a6,Bell Touches,Ball Mastery (Solo),1,1,U8-U19,4,ball,Beginner,Tap ball side-to-side with the inside of both feet to build control and rhythm.,Ankles locked;Quick reset;Head up,Add forward travel; add touch limit per side.,Reduce speed; widen stance.,Ball Control:4|Coordination:3|Composure:2,True,ball;beginner;touches;u11-friendly
c73f8e59-67d7-4343-8fe5-f17f699b9c4a,Sole Rolls (Side-to-Side),Ball Mastery (Solo),1,1,U9-U19,5,ball,Beginner,Roll ball left-right with the sole to improve feel and foot strength.,Use whole sole;Keep ball close;Stay balanced,Add pull-push after each roll; travel forward.,Do stationary only; slow tempo.,Ball Control:4|Balance:3|Weak Foot:2,True,ball;beginner;sole;u11-friendly
c4478fcc-a401-43d5-933e-507cfb15e3b6,Inside–Outside Touches (Same Foot),Ball Mastery (Solo),1,1,U9-U19,5,ball,Intermediate,"Using one foot, push ball inside then outside repeatedly, then switch feet.",Soft touches;Knee bent;Use both feet equally,Add forward movement; increase speed; add feint.,Do fewer reps; longer breaks.,Dribbling:4|Ball Control:3|Composure:2,True,ball;intermediate;skill;u11-friendly
43c2df66-5ddc-42bd-86d8-1d9075c203aa,V-Pulls,Ball Mastery (Solo),1,1,U10-U19,5,ball,Intermediate,Pull ball back with sole then push diagonally forward to simulate creating space.,Explosive push;Turn hips;Accelerate after move,Add defender cone; chain two V-pulls then sprint.,Start slow; shorter distance.,Dribbling:4|Agility:3|Passing:2,True,ball;intermediate;turns;u11-friendly
30431a39-fa65-465b-a779-e25b7de5df37,Pull-Push Alternating Feet,Ball Mastery (Solo),1,1,U9-U19,5,ball,Intermediate,Pull back with one foot and push forward with the other in a rhythm pattern.,Keep ball tight;Stay on toes;Smooth transfers,Increase tempo; add directional change every 5 reps.,Reduce tempo; allow stop between actions.,Ball Control:4|Coordination:3|Decision Making:2,True,ball;intermediate;rhythm;u11-friendly
91d7f6c5-d1f8-414e-9efc-a583157cac25,L-Turn Reps,Ball Mastery (Solo),1,1,U10-U19,5,ball;cones,Intermediate,Drag ball back then cut sideways in an L shape to turn away from pressure.,Sell the turn;Sharp cut;Accelerate out,Add speed into move; add cone as defender; weak-foot only set.,Walk through pattern; bigger space.,Dribbling:4|Agility:3|Strength:2,True,ball;intermediate;turns;u11-friendly
38b49624-6f7a-42d7-b926-0717f1a4804a,Cruyff Turn Reps,Ball Mastery (Solo),1,1,U10-U19,5,ball;cones,Intermediate,Fake a pass/shot then drag ball behind standing leg to change direction.,Convincing fake;Use inside of foot;Explode after turn,Add sprint finish; chain with feint before turn.,Stationary first; reduce speed.,Dribbling:4|Composure:3|Pressing:2,True,ball;intermediate;turns;u11-friendly
42753870-99a6-415f-9257-9197f772a39d,Inside Cut + Outside Cut Alternation,Ball Mastery (Solo),1,1,U9-U19,6,ball;cones,Beginner,Dribble to a cone then alternate inside cut and outside cut turns.,Plant foot;Touch across body;Accelerate away,Add time challenge; add weak foot only rounds.,Increase distance between cones; slow tempo.,Dribbling:4|Ball Control:3|Pressing:2,True,ball;beginner;turns;u11-friendly
11ac71bf-c42d-4a44-a11f-ec6b98064f70,Figure-8 Dribble (Two Cones),Ball Mastery (Solo),1,1,U8-U19,6,ball;cones,Beginner,Dribble a figure-8 pattern around two cones focusing on close control.,Small touches near cone;Head up between turns;Use both feet,Reduce cone gap; add moves at each turn.,Widen cone gap; walk pace first.,Ball Control:4|Agility:3|First Touch:2,True,ball;beginner;pattern;u11-friendly
aaf47645-429f-4de6-bd74-0cad6fbc1018,Box Dribble (Four Cones),Ball Mastery (Solo),1,1,U8-U19,6,ball;cones,Beginner,Dribble around a square; perform a turn at each corner.,Turn tight;Use both feet;Accelerate after turn,"Add assigned turns (pullback, Cruyff, L-turn).",Bigger square; fewer turns.,Ball Control:4|Decision Making:3|Receiving:2,True,ball;beginner;pattern;u11-friendly
b158521d-2116-4a09-b310-3bfd41853466,Ronaldo Chop Reps,Ball Mastery (Solo),1,1,U11-U19,5,ball;cones,Advanced,Outside-of-foot chop across body while hopping to shift weight and change direction.,Sell the feint;Touch across body;Explode after chop,Add approach at speed; add finish after chop.,Practice slow; reduce hop; larger space.,Dribbling:4|Agility:3|Shooting:2,True,advanced;ball;move;u11-friendly
2b5dc3b2-1272-47ae-975d-6baf1ac3583d,Scissors Reps,Ball Mastery (Solo),1,1,U10-U19,5,ball;cones,Intermediate,Circular leg movement around ball to sell direction change.,Big sell;Stay balanced;Push ball past 'defender' cone,Double scissors; add sprint out; weak foot set.,Single scissors only; slow tempo.,Dribbling:4|Balance:3|Coordination:2,True,ball;intermediate;move;u11-friendly
4431cd90-e410-4600-8279-a71957fcec21,Step-Over Reps,Ball Mastery (Solo),1,1,U10-U19,5,ball;cones,Intermediate,Stepping over the ball to disguise direction before pushing away.,Sell with shoulders;Plant and push;Accelerate out,Double step-over; add change of pace.,Start with stationary step-over; slower tempo.,Dribbling:4|Composure:3|First Touch:2,True,ball;intermediate;move;u11-friendly
894d846d-110a-4894-ac69-eb7c81913cb3,Drag Back (Sole) + Go,Ball Mastery (Solo),1,1,U8-U19,4,ball;cones,Beginner,Pull ball back with sole then push forward to reset and accelerate.,Close control;Quick second touch;Head up,Add angle exit; chain two drag backs.,Slow tempo; bigger space.,Ball Control:4|Dribbling:3|Weak Foot:2,True,ball;beginner;turns;u11-friendly
5b8f53a4-434b-4658-8bdf-0dd7e6e7d4b8,Outside Touches (Laces) Line,Ball Mastery (Solo),1,1,U9-U19,6,ball;cones,Intermediate,Moving forward using outside-of-foot touches to build speed dribbling control.,Toe down;Push not kick;Stay relaxed,Increase pace; add cone slalom with outside touches only.,Do short segments; rest longer.,Dribbling:4|Speed:3|Coordination:2,True,ball;intermediate;speed-dribble;u11-friendly
ca7ff305-941c-45cf-aab6-602940cb3d75,Weak-Foot Only Touches,Ball Mastery (Solo),1,1,U9-U19,6,ball,Intermediate,Any ball-mastery pattern performed using only weak foot to accelerate development.,Be patient;Small touches;Good body shape,Add time goals; add movement patterns.,Shorten sets; allow alternating feet between sets.,Weak Foot:4|Ball Control:3|Coordination:2,True,ball;intermediate;u11-friendly;weak-foot
a9756874-9423-4315-a559-43ea05957620,Sole + Inside Combos,Ball Mastery (Solo),1,1,U10-U19,6,ball,Intermediate,Combo touches: sole roll into inside touch repeated in rhythm.,Smooth transitions;Keep ball under body;Head up,Increase speed; add travel forward.,Break combo into parts; slower tempo.,Ball Control:4|Coordination:3|Finishing:2,True,ball;combo;intermediate;u11-friendly
7d41a84a-4ee3-48be-a466-4d663460f605,Sole Pull + Outside Push,Ball Mastery (Solo),1,1,U10-U19,6,ball,Advanced,Pull ball back with sole and push away with outside of foot to create separation.,Sharp outside push;Explode out;Sell the pull,Add cone defender; add finish or pass after move.,Start slow; increase space.,Dribbling:4|Composure:3|Speed:2,True,advanced;ball;combo;u11-friendly
f9ca64a4-a639-4891-ba9b-ba0b99cadc34,Tik-Tok Touches (Inside-Outside Alternating Feet),Ball Mastery (Solo),1,1,U10-U19,6,ball,Advanced,Fast alternating inside-outside touches switching feet each contact to build elite rhythm.,Quick contacts;Stay light;Control over speed,Add travel; add 10-second max-out rounds.,Slow tempo; fewer rounds.,Coordination:4|Ball Control:3|Passing:2,True,advanced;ball;elite;u11-friendly
9f1f0057-d15c-4e93-a4b4-214b24d230d3,Around-the-World (Coerver) Reps,Ball Mastery (Solo),1,1,U11-U19,5,ball,Advanced,Circling foot around the ball to train dexterity and comfort manipulating the ball.,Loose hips;Balanced stance;Keep ball still,Add forward movement; chain with push past cone.,Stationary only; slow circle.,Coordination:4|Balance:3|Shooting:2,True,advanced;ball;dexterity;u11-friendly
8e5376b1-0e81-42b8-ad75-435b72c842dd,Inside Touches Forward/Back,Ball Mastery (Solo),1,1,U8-U19,5,ball;cones,Beginner,Inside touches moving forward then backward in a lane to sharpen control both directions.,Soft touch;Eyes up;Use both feet,Add stop/turn at end; add tempo changes.,Shorter lane; slower speed.,Ball Control:4|Agility:3|Weak Foot:2,True,ball;beginner;movement;u11-friendly
4a7e466c-b7fa-478c-82a4-8d1166c1893a,Sole Roll + Pullback Turn,Ball Mastery (Solo),1,1,U10-U19,6,ball;cones,Intermediate,Roll ball across body then pull back into turn; repeat both directions.,Roll cleanly;Turn hips;Accelerate away,Add cone defender; add time target.,Do roll only; then add turn later.,Dribbling:4|Agility:3|Decision Making:2,True,ball;intermediate;turns;u11-friendly
8d0d4aef-025d-419e-ab5a-f82ef4db6479,Touch Box (30-Second Rounds),Ball Mastery (Solo),1,1,U9-U19,6,ball;cones,Intermediate,Inside/sole/outside touches inside a small box for timed rounds.,Stay relaxed;Quick feet;Control first,Shrink box; add weak foot rounds.,Enlarge box; longer rest.,Ball Control:4|Endurance:3|Shooting:2,True,ball;intermediate;intervals;u11-friendly
9555b67e-9387-457f-b961-720c8df49a60,Coerver Cuts (Inside Cut Line),Ball Mastery (Solo),1,1,U9-U19,6,ball;cones,Beginner,Dribble forward and perform inside cuts at each cone to practice sharp direction changes.,Touch across body;Plant foot;Accelerate out,Reduce spacing; add feint before cut.,Increase spacing; slow pace.,Dribbling:4|Agility:3|Shooting:2,True,ball;beginner;cuts;u11-friendly
2f3f9381-a52d-4d2a-96b5-433f73fbc7ad,Coerver Cuts (Outside Cut Line),Ball Mastery (Solo),1,1,U9-U19,6,ball;cones,Beginner,Dribble forward and perform outside cuts at each cone for outside-foot control.,Use pinky toe area;Keep ball close;Accelerate after cut,Add tempo changes; add weak foot sets.,Walk-through reps; larger spacing.,Dribbling:4|Ball Control:3|Finishing:2,True,ball;beginner;cuts;u11-friendly
65136563-97dd-4454-8120-f395b04450d7,Maradona Spins (Turn Reps),Ball Mastery (Solo),1,1,U11-U19,5,ball;cones,Advanced,Use sole to drag ball across body while spinning to turn away from pressure.,Stay low;Protect ball with body;Explode out,Add approach speed; add defender cone.,Slow spin; bigger space.,Dribbling:4|Balance:3|Speed:2,True,advanced;ball;turns;u11-friendly
a35114dd-6399-4e63-bb53-038248a7b05c,Outside-Inside (Zigzag) Lane,Ball Mastery (Solo),1,1,U10-U19,7,ball;cones,Intermediate,"Zigzag down a lane using outside touch to push, inside to correct line.",Controlled push;Eyes up;Use both feet,Increase tempo; reduce cone distance.,Increase cone distance; slower tempo.,Ball Control:4|Speed:3|Dribbling:2,True,ball;intermediate;lane;u11-friendly
cc2d56fe-51c2-4393-8d6e-e5133aa48204,Stop-Start Explosions,Ball Mastery (Solo),1,1,U9-U19,6,ball;cones,Beginner,"Dribble then stop ball dead, then explode forward on cue to train acceleration control.",Stop with sole;Big first step;Ball slightly ahead on sprint,Randomize cues; add turn after stop.,Predictable cues; longer rest.,Speed:4|Ball Control:3|Balance:2,True,acceleration;ball;beginner;u11-friendly
bba1e578-1888-4d15-9899-c4dd75539e2d,Wall Pass Control (One Touch),First Touch,1,1,U9-U19,7,ball;wall,Intermediate,"Pass against a wall and control with one touch (inside, outside, sole) alternating surfaces.",Prep touch early;Soft first touch;Change surface often,Increase distance; add one-touch return; add weak foot.,Shorten distance; allow extra touch.,First Touch:4|Ball Control:3|Balance:2,True,first;intermediate;u11-friendly;wall
774ed072-63a7-4280-9697-d8dc1b38db9c,Wall Pass – Two Touch Rhythm,First Touch,1,1,U9-U19,7,ball;wall,Beginner,"Pass, control, pass in steady rhythm to build consistent first touch and passing technique.",Cushion touch;Plant foot;Strike through middle of ball,Alternate feet each rep; add half-turn before pass.,Slow tempo; shorter sets.,First Touch:4|Passing:3|Shooting:2,True,beginner;first;u11-friendly;wall
542181eb-fca3-4129-bb6c-c3f170252ff5,Receive Across Body (Pairs),First Touch,2,20,U10-U19,8,balls;cones,Intermediate,"Receive pass across body to open up, then play to next cone/target.",Open hips;Scan before receiving;First touch into space,Add defender shadow; reduce space.,Increase space; allow extra touch.,Receiving:4|Vision:3|Composure:2,False,first;intermediate;open-body;u11-friendly
25d47d0e-66c2-4efe-918a-aed7c49adf0f,Half-Turn Receiving Line,First Touch,4,16,U11-U19,10,balls;cones,Advanced,"Players receive with back to pressure, check shoulder, half-turn on first touch and accelerate.",Check shoulder early;Use far foot;Accelerate after touch,Add live defender; add time limit.,No defender; slower pace.,First Touch:4|Decision Making:3|Endurance:2,False,advanced;first;turn;u11-friendly
7f18358c-dd48-41a8-903f-aa6d980807c7,Aerial Control (Toss + Set),First Touch,1,2,U10-U19,8,ball,Intermediate,Toss ball to self or partner; control with thigh/chest then settle to feet and play.,Soft surface;Absorb impact;Set ball into space,Add volley finish; add weak-foot set.,Allow one bounce; lower toss.,First Touch:4|Composure:3|Goalkeeping:2,True,aerial;first;intermediate;u11-friendly
